"","QWE","MI","PI","LOCTot","SocDesTot","MachTot","Sex","BehIntTot","ManCheck_1","ManCheck_2","ManCheck_3","Team"
"416","high","unethical","ethical",34,28,26,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"417","low","unethical","ethical",37,27,25,"Female",7,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"418","low","unethical","ethical",33,23,22,"Female",5,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"419","low","ethical","unethical",26,27,24,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"420","high","unethical","ethical",33,24,34,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",5
"421","low","ethical","ethical",27,31,29,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",5
"422","low","unethical","unethical",30,27,23,"Male",10,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"423","high","unethical","unethical",31,22,28,"Female",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"424","high","ethical","ethical",33,29,24,"Female",8,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",5
"425","high","ethical","unethical",28,28,30,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"426","high","unethical","ethical",24,31,17,"Female",14,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"427","high","ethical","unethical",25,32,25,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"428","low","ethical","ethical",34,32,32,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",5
"429","low","ethical","unethical",25,29,22,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"430","low","unethical","unethical",34,36,30,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"431","high","unethical","unethical",34,31,24,"Female",7,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"432","low","unethical","ethical",32,28,22,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",5
"433","high","ethical","unethical",25,38,23,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"434","low","ethical","ethical",33,29,21,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",5
"435","low","unethical","ethical",18,32,25,"Female",10,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"436","high","unethical","ethical",33,26,27,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"437","high","ethical","ethical",36,28,30,"Female",14,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"438","low","ethical","unethical",39,31,26,"Male",7,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"439","high","unethical","unethical",31,27,32,"Female",14,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"440","low","unethical","unethical",25,38,24,"Female",6,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"441","high","ethical","unethical",30,29,21,"Female",8,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",5
"442","low","ethical","ethical",38,37,32,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"443","low","unethical","unethical",35,29,26,"Female",18,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"444","high","unethical","ethical",30,22,33,"I do not wish to identify as either",15,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"445","low","unethical","ethical",30,31,27,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"446","low","ethical","unethical",20,33,17,"Female",12,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"447","high","ethical","ethical",23,37,27,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"448","low","unethical","unethical",26,25,26,"Female",7,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"449","high","ethical","unethical",31,23,24,"Female",9,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"450","high","ethical","ethical",19,35,28,"Male",16,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",5
"451","low","unethical","ethical",31,25,26,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",5
"452","high","unethical","ethical",23,26,29,"Female",6,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",5
"453","high","unethical","unethical",35,29,30,"Female",16,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"454","high","ethical","ethical",36,33,26,"Female",11,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"455","low","ethical","ethical",30,23,25,"Male",10,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"456","low","ethical","unethical",21,32,26,"Female",9,"Poor","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",5
"457","high","ethical","unethical",22,28,26,"Female",10,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"458","low","unethical","unethical",29,32,21,"Female",11,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"459","high","unethical","unethical",27,28,28,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"460","high","ethical","ethical",19,32,27,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"461","high","ethical","unethical",37,33,28,"Female",10,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"462","low","unethical","unethical",35,28,23,"Female",11,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"463","low","ethical","unethical",31,32,27,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"464","low","ethical","ethical",31,32,27,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"465","high","unethical","ethical",27,38,25,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"466","high","unethical","unethical",36,33,26,"Male",4,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",5
"467","low","ethical","unethical",31,25,31,"I do not wish to identify as either",13,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"468","high","ethical","ethical",23,31,22,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"469","high","unethical","ethical",33,25,24,"Female",5,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"470","high","unethical","unethical",28,29,28,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",5
"471","high","ethical","unethical",29,36,26,"Male",5,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"472","low","unethical","ethical",28,30,31,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"473","low","ethical","ethical",23,29,18,"Female",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",5
"474","low","unethical","unethical",31,31,32,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",5
"475","low","ethical","ethical",35,26,31,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",5
"476","high","ethical","ethical",32,22,34,"Female",8,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",6
"477","low","unethical","ethical",26,34,23,"Male",14,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"478","low","unethical","unethical",18,30,39,"Female",13,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"479","high","unethical","ethical",30,23,33,"Male",13,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"480","low","ethical","unethical",33,28,25,"Male",16,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"481","low","ethical","ethical",31,23,31,"Male",16,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"482","low","unethical","ethical",28,25,25,"Female",12,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"483","high","ethical","unethical",25,35,29,"Female",15,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"484","low","ethical","unethical",28,27,27,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"485","low","unethical","unethical",25,31,25,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"486","high","ethical","ethical",27,24,26,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"487","high","unethical","unethical",23,31,24,"Female",12,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"488","low","unethical","unethical",30,29,37,"Male",6,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"489","low","ethical","unethical",26,32,29,"Male",11,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"490","high","unethical","ethical",27,23,25,"Female",11,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"491","high","ethical","unethical",31,31,27,"Female",8,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"492","low","unethical","ethical",25,35,25,"Female",5,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"493","high","ethical","ethical",21,21,24,"Male",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"494","high","unethical","unethical",26,33,26,"Male",14,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"495","high","ethical","unethical",36,30,30,"Male",12,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"496","high","unethical","ethical",27,32,27,"Female",7,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"497","low","unethical","ethical",29,23,27,"Female",6,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",6
"498","low","unethical","unethical",30,25,41,"Male",16,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"499","high","unethical","ethical",40,31,36,"Male",9,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"500","low","ethical","unethical",38,36,32,"Male",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"501","low","ethical","ethical",29,28,27,"Female",11,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"502","low","ethical","unethical",27,32,26,"Female",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"503","low","unethical","ethical",29,33,29,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"504","high","ethical","unethical",23,33,24,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"505","low","unethical","unethical",28,26,25,"Female",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"506","high","unethical","unethical",30,31,35,"Male",9,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"507","high","ethical","ethical",28,31,34,"Female",10,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"508","low","ethical","ethical",19,34,24,"Female",10,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"509","high","ethical","unethical",27,30,21,"Female",5,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"510","high","unethical","unethical",32,20,33,"Female",9,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"511","low","unethical","unethical",33,29,21,"Male",7,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"512","low","ethical","ethical",37,29,31,"Female",14,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"513","high","unethical","ethical",31,29,31,"Female",13,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"514","low","ethical","unethical",31,25,33,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"515","high","ethical","ethical",28,24,24,"Female",8,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"516","high","ethical","unethical",30,32,31,"Male",12,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"517","high","unethical","unethical",31,29,30,"Female",8,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"518","high","ethical","unethical",32,34,25,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"519","high","unethical","unethical",27,25,26,"Male",14,"Good","Employees were quite accurate in reporting their trip expenses","It was difficult to determine what the boss was reporting on his expense reports",6
"520","low","unethical","unethical",34,30,30,"Female",12,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"521","low","unethical","unethical",24,35,37,"Male",16,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"522","high","unethical","ethical",38,21,32,"Female",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",6
"523","high","unethical","ethical",29,30,23,"Female",14,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"524","low","ethical","unethical",26,32,28,"Female",9,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"525","low","ethical","unethical",36,27,35,"Male",12,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"526","high","ethical","ethical",30,34,30,"Female",10,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"527","high","ethical","ethical",32,28,28,"I do not wish to identify as either",12,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"528","low","ethical","ethical",28,27,25,"Male",11,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"529","high","unethical","unethical",28,32,25,"Male",9,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"530","high","unethical","ethical",32,32,26,"Male",15,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"531","low","unethical","ethical",26,29,29,"Female",11,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"532","high","ethical","unethical",32,27,25,"Female",5,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"533","high","unethical","unethical",31,31,30,"Male",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"534","low","ethical","ethical",29,30,33,"Male",9,"Good","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"535","high","ethical","ethical",30,34,30,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"536","high","unethical","unethical",31,29,24,"Female",8,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"537","low","unethical","ethical",37,25,28,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"538","low","unethical","unethical",25,33,27,"Female",15,"Neither good nor poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"539","low","ethical","unethical",29,30,29,"Female",10,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"540","high","ethical","unethical",28,27,35,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"541","low","ethical","unethical",34,30,32,"Female",11,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"542","low","ethical","ethical",33,31,29,"Female",7,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"543","low","unethical","ethical",30,26,27,"Male",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"544","low","unethical","unethical",33,30,24,"Female",5,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"545","high","unethical","ethical",33,34,28,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"546","high","ethical","unethical",25,24,30,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"547","low","ethical","unethical",24,24,28,"Male",9,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"548","high","ethical","ethical",27,29,31,"Female",11,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"549","low","unethical","ethical",29,26,29,"Female",13,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"550","high","ethical","unethical",27,30,27,"Male",7,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"551","low","ethical","unethical",30,28,27,"Female",9,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"552","high","ethical","ethical",31,30,33,"Male",17,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"553","low","unethical","ethical",29,24,19,"Female",14,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"554","high","unethical","ethical",23,29,30,"Female",14,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"555","high","unethical","ethical",23,30,33,"Female",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",6
"556","high","unethical","unethical",36,27,29,"Male",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"557","high","unethical","unethical",27,30,28,"Male",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"558","low","unethical","ethical",22,29,26,"Female",14,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"559","high","unethical","unethical",31,26,27,"Female",14,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"560","high","ethical","unethical",30,30,30,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"561","low","ethical","unethical",28,34,32,"Female",15,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"562","low","unethical","unethical",25,28,24,"Male",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"563","low","unethical","unethical",27,31,27,"Female",11,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"564","low","ethical","ethical",28,33,25,"Male",4,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",6
"565","low","ethical","unethical",30,34,27,"Female",10,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",6
"566","high","ethical","ethical",29,32,21,"Male",9,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"567","high","unethical","unethical",21,35,30,"Female",7,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"568","high","unethical","ethical",30,32,22,"Male",15,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",6
"569","high","ethical","unethical",28,28,30,"Female",15,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"570","low","ethical","unethical",25,31,27,"Female",12,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",6
"571","high","ethical","ethical",27,28,28,"Female",12,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",6
"572","low","unethical","ethical",23,29,25,"Female",13,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",6
"573","low","ethical","ethical",22,28,26,"Female",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",7
"574","high","ethical","unethical",22,34,26,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"575","low","ethical","unethical",29,31,12,"Female",4,"Poor","It was typical for employees to increase their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"576","low","unethical","unethical",18,25,26,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",7
"577","high","unethical","ethical",26,31,19,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",7
"578","high","ethical","ethical",21,27,36,"Female",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"579","high","unethical","ethical",31,24,33,"Female",6,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",7
"580","low","ethical","ethical",31,38,23,"Female",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"581","high","unethical","unethical",14,34,18,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"582","low","unethical","ethical",14,28,24,"Female",8,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"583","low","ethical","unethical",30,28,30,"Female",14,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"584","high","ethical","unethical",26,25,26,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"585","high","unethical","unethical",30,34,12,"Female",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"586","low","ethical","ethical",20,26,26,"Male",8,"Poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"587","high","ethical","ethical",31,35,21,"Female",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"588","low","ethical","unethical",22,30,26,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",7
"589","high","unethical","ethical",38,30,29,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"590","low","unethical","unethical",22,40,19,"Female",8,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"591","low","unethical","ethical",29,39,16,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"592","low","ethical","ethical",25,40,14,"Female",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",7
"593","high","ethical","unethical",29,34,25,"Male",5,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"594","high","ethical","ethical",28,29,23,"Female",8,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"595","high","unethical","ethical",27,33,23,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",7
"596","low","unethical","ethical",14,35,25,"Female",4,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",7
"597","low","unethical","unethical",32,29,20,"Female",4,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"598","low","ethical","unethical",31,33,20,"Male",13,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",7
"599","high","unethical","unethical",34,33,21,"I do not wish to identify as either",5,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"600","high","ethical","unethical",24,35,16,"Female",4,"Good","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"601","high","unethical","ethical",24,28,24,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"602","low","ethical","ethical",22,34,18,"Female",7,"Poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"603","low","ethical","unethical",30,34,17,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"604","high","unethical","unethical",23,32,15,"",4,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"605","high","ethical","ethical",34,30,25,"Female",11,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"606","low","unethical","unethical",30,30,23,"Female",13,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"607","low","unethical","ethical",30,28,27,"Female",12,"Neither good nor poor","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"608","high","ethical","unethical",31,29,23,"Male",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"609","high","unethical","ethical",35,30,27,"Female",7,"Good","Employees were quite accurate in reporting their trip expenses","The boss increased his expense reports",7
"610","low","ethical","unethical",28,30,23,"Female",4,"Poor","It was typical for employees to increase their expense reports","The boss was quite accurate in reporting his trip expenses",7
"611","low","unethical","ethical",21,33,20,"Female",8,"Poor","It was difficult to determine what other people were reporting on their expense reports","The boss increased his expense reports",7
"612","low","ethical","ethical",26,37,25,"Female",5,"Neither good nor poor","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"613","low","unethical","unethical",29,23,29,"Female",20,"Poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"614","high","unethical","unethical",33,36,24,"Female",8,"Good","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"615","high","ethical","ethical",25,29,27,"Male",4,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"616","low","unethical","unethical",21,32,24,"Female",4,"Neither good nor poor","It was typical for employees to increase their expense reports","The boss increased his expense reports",7
"617","high","unethical","unethical",31,33,23,"Female",8,"Good","It was difficult to determine what other people were reporting on their expense reports","It was difficult to determine what the boss was reporting on his expense reports",7
"618","low","ethical","ethical",27,33,20,"Female",11,"Good","Employees were quite accurate in reporting their trip expenses","The boss was quite accurate in reporting his trip expenses",7
"619","high","ethical","unethical",22,41,11,"Female",4,"Good","It was difficult to determine what other people were reporting on their expense reports","The boss was quite accurate in reporting his trip expenses",7
